Center Name,Location (District),WhatsApp/Mobile,Source URL
British Language Club & IELTS Int'l Test Centre Rajshahi Venue,Rajshahi,+8801711004605,https://www.facebook.com/ProfMEALord/
Project Headway,Rajshahi,+8801714179491,https://www.facebook.com/headway.englishteaching/
IELTS Online,Rajshahi,+8801711004605,https://10ms.io/GKYlA
Mars Education,Rajshahi,+8801709684523,https://www.facebook.com/marseducation2020/
Sun-Dial Coaching Center,Rajshahi,+8801781391616,https://www.facebook.com/Sundial86/
Talent Private Centre,Rajshahi,+8801724071166,https://www.google.com/maps/place/Talent+Private+Centre/data=!4m7!3m6!1s0x39fbefa9113aa647:0xae0367d3f2dd27ac!8m2!3d24.3673166!4d88.5984354!16s%2Fg%2F11dxdklsyb!19sChIJR6Y6Eanv-zkRrCfd8tNnA64?authuser=0&hl=en&rclk=1
IELTS TEST CENTRE IN RAJSHAHI,Rajshahi,+8801870121007,https://www.facebook.com/ielts.kazlarajshahi.1
IELTS RAJSHAHI,Rajshahi,,https://www.google.com/maps/place/IELTS+RAJSHAHI/data=!4m7!3m6!1s0x39fbef001a113141:0x57444d61e6f7e618!8m2!3d24.3796951!4d88.5987961!16s%2Fg%2F11vtb8qv9_!19sChIJQTERGgDv-zkRGOb35mFNRFc?authuser=0&hl=en&rclk=1
English Lab,Rajshahi,+8801890414660,https://www.facebook.com/englishlab.sahed
DOCTOR ENGLISH,Rajshahi,+8801711779074,https://www.google.com/maps/place/DOCTOR+ENGLISH/data=!4m7!3m6!1s0x39fbef0054199af9:0xf2fba53257ff87a9!8m2!3d24.3742694!4d88.5970753!16s%2Fg%2F11w1w2fqrg!19sChIJ-ZoZVADv-zkRqYf_VzKl-_I?authuser=0&hl=en&rclk=1
Esperto Learning,Rajshahi,+8801711283634,https://www.facebook.com/EspertoLearningAcademy
Advanced English,Rajshahi,+8801744751802,https://sites.google.com/view/advancedenglishrajshahi
"ইংরেজি ও অন্যান্য ভাষা ইনস্টিটিউট, রাবি",Rajshahi,0721711146,http://www.ru.ac.bd/ieol/
The Bright Academy,Rajshahi,+8801779428847,https://www.facebook.com/Rajshahiprivateandtutorhome?mibextid=ZbWKwL
Ruhul English,Rajshahi,+8801805025737,https://www.facebook.com/p/Ruhul-English-100063550752425/
"Milon's English Home, Rajshahi",Rajshahi,+8801721101262,https://web.facebook.com/profile.php?id=61589398520171
Hallo German Language Institute Rajshahi,Rajshahi,+8801727025029,https://www.facebook.com/hallogermanlanguageinstituteinrajshahi/
Care Korean Language Center Rajshahi,Rajshahi,+8801328115594,https://www.facebook.com/carekorean
Asha Korean Language Center,Rajshahi,+8801717725597,https://www.google.com/maps/place/Asha+Korean+Language+Center/data=!4m7!3m6!1s0x39fbef4885f32b0b:0x4184ac3830207be2!8m2!3d24.3680632!4d88.5990748!16s%2Fg%2F11h9p9k6s4!19sChIJCyvzhUjv-zkR4nsgMDishEE?authuser=0&hl=en&rclk=1
Ekush Korean language - Rajshahi কোরিয়ান ভাষা শিখুন রাজশাহীতে,Rajshahi,+8801713290275,https://www.facebook.com/EkushLanguageIT/
"Mehul Japanese Language Education Center, Rajshahi Branch",Rajshahi,+8801879062324,https://www.facebook.com/mehul.rajshahi/
JKLTC কোরিয়ান ভাষা প্রশিক্ষন কেন্দ্র,Rajshahi,+8801612204595,https://www.google.com/maps/place/JKLTC+%E0%A6%95%E0%A7%8B%E0%A6%B0%E0%A6%BF%E0%A7%9F%E0%A6%BE%E0%A6%A8+%E0%A6%AD%E0%A6%BE%E0%A6%B7%E0%A6%BE+%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%B6%E0%A6%BF%E0%A6%95%E0%A7%8D%E0%A6%B7%E0%A6%A8+%E0%A6%95%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%B0/data=!4m7!3m6!1s0x39fbef5216dc03f7:0x896e158b6e6b8781!8m2!3d24.3676593!4d88.6006939!16s%2Fg%2F11vfbks_h2!19sChIJ9wPcFlLv-zkRgYdrbosVbok?authuser=0&hl=en&rclk=1
